Region,Flow,Value
Auvergne-Rhone-Alpes,ConsumptionMWh,3841.549266917819
Auvergne-Rhone-Alpes,ConsumptionMWh,4025.5569983038877
Auvergne-Rhone-Alpes,ConsumptionMWh,4123.366596740463
Auvergne-Rhone-Alpes,ConsumptionMWh,4306.753724144881
Auvergne-Rhone-Alpes,ConsumptionMWh,3909.9444437465504
Auvergne-Rhone-Alpes,ConsumptionMWh,3934.4639976040125
Auvergne-Rhone-Alpes,ConsumptionMWh,3315.751357473752
Auvergne-Rhone-Alpes,ConsumptionMWh,3516.5434491874335
Auvergne-Rhone-Alpes,ConsumptionMWh,4321.673510638883
Auvergne-Rhone-Alpes,ConsumptionMWh,3972.3917085278777
Auvergne-Rhone-Alpes,ConsumptionMWh,2819.97847570495
Auvergne-Rhone-Alpes,ConsumptionMWh,3404.7049871750914
Auvergne-Rhone-Alpes,ConsumptionMWh,3936.3721744685836
Auvergne-Rhone-Alpes,ConsumptionMWh,2887.112533979048
Auvergne-Rhone-Alpes,ConsumptionMWh,4437.013821729845
Auvergne-Rhone-Alpes,ConsumptionMWh,3621.1468502333687
Auvergne-Rhone-Alpes,ConsumptionMWh,3494.43631000357
Auvergne-Rhone-Alpes,ConsumptionMWh,3050.759140054993
Auvergne-Rhone-Alpes,ConsumptionMWh,1807.5
Auvergne-Rhone-Alpes,ConsumptionMWh,6588.5
Auvergne-Rhone-Alpes,ProductionMWh,6756.864129942336
Auvergne-Rhone-Alpes,ProductionMWh,6068.211785390501
Auvergne-Rhone-Alpes,ProductionMWh,7427.683868511375
Auvergne-Rhone-Alpes,ProductionMWh,5889.596197029101
Auvergne-Rhone-Alpes,ProductionMWh,6136.999123836998
Auvergne-Rhone-Alpes,ProductionMWh,6987.1495236195815
Auvergne-Rhone-Alpes,ProductionMWh,7614.217626860524
Auvergne-Rhone-Alpes,ProductionMWh,7424.828963841278
Auvergne-Rhone-Alpes,ProductionMWh,7564.1529828310195
